# Citry v1 beta Stage 0 change ledger
# Baseline: B0-20260723T132129Z-53aec721
# Snapshot command: git -c core.quotepath=false status --porcelain=v1 --untracked-files=all
# provisional_path_class is derived from path/status only and must be verified in later stages.
status	path	tracked_state	size_bytes	provisional_path_class	ownership_state	baseline
??	[redacted]	untracked	34331	documentation	unassigned	B0-20260723T132129Z-53aec721
??	TODO/resume_notes_djc_citry.md	untracked	8589	documentation	unassigned	B0-20260723T132129Z-53aec721
??	TODO/v2_jsx.md	untracked	19772	documentation	unassigned	B0-20260723T132129Z-53aec721
??	benchmarks/client.py	untracked	17044	source_or_config	unassigned	B0-20260723T132129Z-53aec721
??	benchmarks/client_scenario.py	untracked	7839	source_or_config	unassigned	B0-20260723T132129Z-53aec721
??	crates/citry_template_parser/src/utils/template_fragment.rs	untracked	1689	source_or_config	unassigned	B0-20260723T132129Z-53aec721
??	crates/citry_template_parser/tests/tag_compiler_client_directives.rs	untracked	2846	test_or_fixture	unassigned	B0-20260723T132129Z-53aec721
??	crates/citry_template_parser/tests/tag_compiler_meta_attrs.rs	untracked	8316	test_or_fixture	unassigned	B0-20260723T132129Z-53aec721
??	crates/citry_template_parser/tests/tag_parser_boundary_handlers.rs	untracked	3064	test_or_fixture	unassigned	B0-20260723T132129Z-53aec721
??	crates/citry_template_parser/tests/tag_parser_client_directives.rs	untracked	7673	test_or_fixture	unassigned	B0-20260723T132129Z-53aec721
??	crates/citry_template_parser/tests/tag_parser_control_flow_shorthand_errors.rs	untracked	2666	test_or_fixture	unassigned	B0-20260723T132129Z-53aec721
??	crates/citry_template_parser/tests/tag_parser_meta_attrs.rs	untracked	10887	test_or_fixture	unassigned	B0-20260723T132129Z-53aec721
??	crates/citry_template_parser/tests/tag_parser_nested_diagnostics.rs	untracked	6891	test_or_fixture	unassigned	B0-20260723T132129Z-53aec721
??	crates/citry_template_parser/tests/tag_parser_variable_scopes.rs	untracked	3858	test_or_fixture	unassigned	B0-20260723T132129Z-53aec721
??	docs/design/alpinejs.md	untracked	58225	documentation	unassigned	B0-20260723T132129Z-53aec721
??	docs/design/alpinejs/README.md	untracked	7098	documentation	unassigned	B0-20260723T132129Z-53aec721
??	docs/design/alpinejs/a10_conformance.md	untracked	5839	documentation	unassigned	B0-20260723T132129Z-53aec721
??	docs/design/alpinejs/a10_performance.md	untracked	6433	documentation	unassigned	B0-20260723T132129Z-53aec721
??	docs/design/alpinejs/a1_server_ownership.md	untracked	11287	documentation	unassigned	B0-20260723T132129Z-53aec721
??	docs/design/alpinejs/a2_client_graph.md	untracked	10074	documentation	unassigned	B0-20260723T132129Z-53aec721
??	docs/design/alpinejs/a9_client_instantiation.md	untracked	4674	documentation	unassigned	B0-20260723T132129Z-53aec721
??	docs/design/alpinejs/alpine-ecosystem-2026.md	untracked	22916	documentation	unassigned	B0-20260723T132129Z-53aec721
??	docs/design/alpinejs/alpine-vuetify-audit.md	untracked	21581	documentation	unassigned	B0-20260723T132129Z-53aec721
??	docs/design/alpinejs/alpine-workproject-audit.md	untracked	16317	documentation	unassigned	B0-20260723T132129Z-53aec721
??	docs/design/alpinejs/component_first_adapter.js	untracked	22439	documentation	unassigned	B0-20260723T132129Z-53aec721
??	docs/design/alpinejs/component_first_comparison_harness.py	untracked	7580	documentation	unassigned	B0-20260723T132129Z-53aec721
??	docs/design/alpinejs/component_first_comparison_scenarios.js	untracked	3060	documentation	unassigned	B0-20260723T132129Z-53aec721
